empresa,produto_extraido,codigo_produto,codigo_valido,pagina_catalogo,data_catalogo,metodo_extracao,qualidade_extracao,revisao_necessaria,fonte,quantidade_original,unidade_original,quantidade_padronizada,unidade_padronizada,produto_padronizado_inicial,motivos_revisao,codigo_produto_original,motivo_codigo,id_registro,status_validacao
Milk Distribuidora,BIG CEREAL CROCANTE CHOCOLATE 500 G,123,True,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,500.0,G,0.5,KG,BIG CEREAL CROCANTE CHOCOLATE,Extração por coordenadas,123,CODIGO_VALIDO,MILK_COD_123,VALIDO
Milk Distribuidora,"COB GTS MEIO AMARGO 1,050 KG",161,True,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,1.05,KG,1.05,KG,COB GTS MEIO AMARGO,Extração por coordenadas,161,CODIGO_VALIDO,MILK_COD_161,VALIDO
Milk Distribuidora,"COB. CHIPSHOW AVELÃ TOP 1,050 KG",168,True,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,1.05,KG,1.05,KG,COB. CHIPSHOW AVELÃ TOP,Extração por coordenadas,168,CODIGO_VALIDO,MILK_COD_168,VALIDO
Milk Distribuidora,"COB. CHIPSHOW BRANCO TOP 1,050 KG",169,True,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,1.05,KG,1.05,KG,COB. CHIPSHOW BRANCO TOP,Extração por coordenadas,169,CODIGO_VALIDO,MILK_COD_169,VALIDO
Milk Distribuidora,COLORETI MINI BALL MISTO 500 G,177,True,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,500.0,G,0.5,KG,COLORETI MINI BALL MISTO,Extração por coordenadas,177,CODIGO_VALIDO,MILK_COD_177,VALIDO
Milk Distribuidora,COLORETI BALL 500 G,179,True,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,500.0,G,0.5,KG,COLORETI BALL,Extração por coordenadas,179,CODIGO_VALIDO,MILK_COD_179,VALIDO
Milk Distribuidora,BIG CEREAL CHOC. BRANCO 500 G,273,True,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,500.0,G,0.5,KG,BIG CEREAL CHOC. BRANCO,Extração por coordenadas,273,CODIGO_VALIDO,MILK_COD_273,VALIDO
Milk Distribuidora,GRANULADO MACIO COLORIDO,291,True,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,,,,,GRANULADO MACIO COLORIDO,Extração por coordenadas; Embalagem não identificada,291,CODIGO_VALIDO,MILK_COD_291,VALIDO
Milk Distribuidora,MINI CEREAL CROCANTE P BRANCO/PRETO 500 G,292,True,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,500.0,G,0.5,KG,MINI CEREAL CROCANTE P BRANCO/PRETO,Extração por coordenadas,292,CODIGO_VALIDO,MILK_COD_292,VALIDO
Milk Distribuidora,BIG CEREAL BRANCO/PRETO 500 G,293,True,5,2022-02-14,coordenadas_pdf,Média,Sim,dados\catalogos\catalogo_milk_2022.pdf,500.0,G,0.5,KG,BIG CEREAL BRANCO/PRETO,Extração por coordenadas,293,CODIGO_VALIDO,MILK_COD_293,VALIDO
